Section,Parameter,Message Type,Control Number,Range,Default,Notes,,,,,,
Mod Matrix,mod matrix 10 source 1,NRPN,2:0,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 10 source 2,NRPN,2:1,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 10 depth,NRPN,2:3,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 10 destination,NRPN,2:4,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 11 source 1,NRPN,2:5,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 11 source 2,NRPN,2:6,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 11 depth,NRPN,2:8,0:127 (-64:63),64,(0),,,,,,
LFO,Lfo 1 common sync,NRPN,0:122,16:17,16,16=OFF  17=ON,,,,,,
LFO,Lfo 1 delay trigger,NRPN,0:122,18:19,18,18=OFF  19=ON,,,,,,
LFO,Lfo 1 fade mode,NRPN,0:123,0:3,0,0=Fade In  1=Fade Out  2=Gate In  3=Gate Out,,,,,,
LFO,Lfo 2 waveform,NRPN,0:79,0:37,0,See LFO Waveform Table,,,,,,
LFO,Lfo 2 phase offset,NRPN,0:80,0:119,0,(0° - 357°) in steps of 3°,,,,,,
LFO,Lfo 2 slew rate,NRPN,0:81,0:127,0,,,,,,,
LFO,Lfo 2 delay,NRPN,0:83,0:127,0,,,,,,,
LFO,Lfo 2 delay sync,NRPN,0:84,0:35,0,,,,,,,
LFO,Lfo 2 rate,NRPN,0:85,0:127,68,,,,,,,
LFO,Lfo 2 rate sync,NRPN,0:86,0:35,0,,,,,,,
LFO,lfo 2 one shot,NRPN,0:122,22:23,22,22=OFF  23=ON,,,,,,
LFO,lfo 2 key sync,NRPN,0:122,24:25,24,24=OFF  25=ON,,,,,,
LFO,lfo 2 common sync,NRPN,0:122,26:27,26,26=OFF  27=ON,,,,,,
LFO,lfo 2 delay trigger,NRPN,0:122,28:29,28,28=OFF  29=ON,,,,,,
LFO,lfo 2 fade mode,NRPN,0:123,4:7,4,4=Fade In  5=Fade Out  6=Gate In  7=Gate Out,,,,,,
Effects and EQ,distortion level,CC,91,0:127,0,,,,,,,
Effects and EQ,chorus level,CC,93,0:127,0,,,,,,,
Effects and EQ,EQ bass frequency,NRPN,0:104,0:127,64,,,,,,,
Effects and EQ,EQ bass level,NRPN,0:105,0:127 (-64:63),64,(0),,,,,,
Effects and EQ,EQ mid frequency,NRPN,0:106,0:127,64,,,,,,,
Effects and EQ,EQ mid level,NRPN,0:107,0:127 (-64:63),64,(0),,,,,,
Effects and EQ,EQ treble frequency,NRPN,0:108,0:127,125,,,,,,,
Effects and EQ,EQ treble level,NRPN,0:109,0:127 (-64:63),64,(0),,,,,,
Effects and EQ,distortion type,NRPN,1:0,0:6,0,See Distortion Table,,,,,,
Effects and EQ,distortion compensation,NRPN,1:1,0:127,100,,,,,,,
Effects and EQ,chorus type,NRPN,1:24,0:1,1,0=Phaser  1=Chorus,,,,,,
Effects and EQ,chorus rate,NRPN,1:25,0:127,84,(20),,,,,,
Effects and EQ,chorus rate sync,NRPN,1:26,0:35,0,,,,,,,
Effects and EQ,chorus feedback,NRPN,1:27,0:127,(-64:63),74,(10),,,,,
Effects and EQ,chorus mod depth,NRPN,1:28,0:127,64,,,,,,,
Effects and EQ,chorus delay,NRPN,1:29,0:127,64,,,,,,,
Mod Matrix,Mod matrix 1 source 1,NRPN,1:83,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,Mod matrix 1 source 2,NRPN,1:84,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 1 depth,NRPN,1:86,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 1 destination,NRPN,1:87,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 2 source 1,NRPN,1:88,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 2 source 2,NRPN,1:89,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 2 depth,NRPN,1:91,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 2 destination,NRPN,1:92,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 3 source 1,NRPN,1:93,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 3 source 2,NRPN,1:94,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 3 depth,NRPN,1:96,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 3 destination,NRPN,1:97,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 4 source 1,NRPN,1:98,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 4 source 2,NRPN,1:99,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 4 depth,NRPN,1:101,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 4 destination,NRPN,1:102,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 5 source 1,NRPN,1:103,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 5 source 2,NRPN,1:104,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 5 depth,NRPN,1:106,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 5 destination,NRPN,1:107,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 6 source 1,NRPN,1:108,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 6 source 2,NRPN,1:109,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 6 depth,NRPN,1:111,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 6 destination,NRPN,1:112,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 7 source 1,NRPN,1:113,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 7 source 2,NRPN,1:114,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 7 depth,NRPN,1:116,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 7 destination,NRPN,1:117,0:17,0,See Mod Matrix Table,,,,,,
